id,transaction_no,line,item,qty,unit,delivered,remain_qty,po_no,warehouse_option,delivery_date,status,description
218,13437,2,Heveya Bamboo Eyemask - Sage,1,Pcs,1,0,,,,open,
219,13437,3,Heveya Vegan Cotton Face Towel - 30x30cm - White,2,Pcs,2,0,,,,open,
220,13437,4,Paper Bag,1,Pcs,1,0,,,,open,
221,13436,1,Heveya Vegan Cotton Bath Mat - 80 x 50cm - White,6,Pcs,6,0,,,,open,
222,13436,2,Heveya Bamboo Pillow Cases Set (2 Pillow Cases) - Toddler Flat 55cm x 36cm - White,5,Pcs,5,0,,,,open,
223,13436,3,Travel Pillow - Half Heveya 2,2,Pcs,2,0,,,,open,
224,13436,4,Heveya Natural Organic Latex Travel Mini Bolster - ( L48cm x ø14cm),2,Pcs,2,0,,,,open,
225,13436,5,Heveya Toddler Flat Pillow - 55 cm x 36 cm,4,Pcs,4,0,,,,open,
226,13436,6,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 12.5cm) - Heveya 4,2,Pcs,2,0,,,,open,
227,13436,7,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 14.5cm) - Heveya 2,2,Pcs,2,0,,,,open,
228,13436,8,Bamboo Pillow Cases Set (2 Pillow Cases) - 50 cm x 75 cm - Sand,2,Set,2,0,,,,open,
229,13436,9,Bamboo Pillow Cases Set (2 Pillow Cases) - 50 cm x 75 cm - White,3,Set,3,0,,,,open,
230,13436,10,Bamboo Pillow Cases Set (2 Pillow Cases) - 50 cm x 75 cm - Blush Mauve,3,Set,3,0,,,,open,
231,13436,11,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 10cm) - Heveya 1,1,Pcs,1,0,,,,open,
232,13436,12,Bamboo Cotton Travel Mini Bolster Case - White,1,Pcs,1,0,,,,open,PRE-ORDER
233,13434,1,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 9/11.5cm) - Heveya 3,1,Pcs,1,0,,,,open,
234,13434,2,Bamboo Teak Pillow Mist - 5ml.,1,Pcs,1,0,,,,open,
235,13434,3,Heveya Pillow Bags,1,Pcs,1,0,,,,open,
236,13433,1,Heveya Natural Organic Latex Mattress III - Super King (W200cm x L200cm) - Medium/Firm,2,Pcs,2,0,,,,open,
237,13432,1,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 10cm) - Heveya 1,1,Pcs,1,0,,,,open,
238,13432,2,Bamboo Teak Pillow Mist - 5ml.,1,Pcs,1,0,,,,open,
239,13432,3,Heveya Pillow Bags,1,Pcs,1,0,,,,open,
240,13431,1,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 9/11.5cm) - Heveya 3,1,Pcs,1,0,,,,open,
241,13431,2,Bamboo Teak Pillow Mist - 5ml.,1,Pcs,1,0,,,,open,
242,13431,3,Heveya Pillow Bags,1,Pcs,1,0,,,,open,
243,#FREE0077,1,Bamboo Teak Sleep Blend.,1,Pcs,1,0,,,,open,blend
244,13430,1,Heveya Natural Organic Latex Topper   -  Super King (W200cm x L200cm) - Soft,1,Pcs,1,0,,,,open,
245,13429,1,Heveya Natural Organic Latex Mattress I -  King (W180cm x L200cm) - Medium/Firm,5,Pcs,0,5,41-25,pending_wh,,open,"MASTER SUITE:1, GUEST SUITE 1, 2, 3, 4BR x2 SETS"
246,13429,2,Heveya Natural Organic Latex  Topper - King (W180cm x L200cm) - Soft,5,Pcs,0,5,41-25,pending_wh,,open,"MASTER SUITE 2, 1BR x2 SETS"
247,13429,3,Linen Flat Sheet Set + 2 Pillow Cases  - Super King/King (300cm x 300cm)  - Natural,8,Set,0,8,,showroom,,open,
248,13429,4,Linen Duvet Sheet Set + 2 Pillow Cases - King (240cm x 220cm) - Charcoal Grey,8,Set,0,8,,showroom,,open,WITHOUT PILLOWCASES
249,13429,5,Linen Pillow Cases Set (2 Pillow Cases) - 57cm x 87cm - Charcoal Grey,8,Set,0,8,,showroom,,open,
250,13429,6,Linen Bundle Bolster Case Set (1 Bolster Case) - ø34.5cm x L91cm - Charcoal Grey,8,Pcs,0,8,,showroom,,open,
251,13429,7,Heveya Linen Throw Pillow Cases - Custom Size 40cm x 40cm - Charcoal Grey,8,Set,0,8,,showroom,,open,
252,13429,8,Linen Flat Sheet Set + 2 Pillow Cases  - Super King/King (300cm x 300cm)  - Natural,2,Set,0,2,,showroom,,open,
253,13429,9,Linen Duvet Sheet Set + 2 Pillow Cases - King (240cm x 220cm) - Pinstriped,2,Set,0,2,,showroom,,open,WITHOUT PILLOWCASES
254,13429,10,Linen Bundle Bolster Case Set (1 Bolster Case) - ø34.5cm x L91cm - Charcoal Grey,2,Pcs,0,2,,showroom,,open,
255,13429,11,Heveya Linen Throw Pillow Cases - Custom Size 40cm x 40cm - Charcoal Grey,2,Set,0,2,,showroom,,open,
256,13429,12,Linen Pillow Cases Set (2 Pillow Cases) - 57cm x 87cm - Pinstripe,2,Set,0,2,,showroom,,open,
257,13429,13,Heveya Natural Organic Latex Bolster - ( L92cm x ø22cm),5,Pcs,0,5,,showroom,,open,
258,13429,14,Pillow Box Large,3,Pcs,0,3,,showroom,,open,
259,13428,1,Heveya Natural Organic Latex  Topper - King (W180cm x L200cm) - Soft,1,Pcs,1,0,,,,open,
260,13428,2,Heveya Natural Organic Latex Bolster - ( L92cm x ø22cm),2,Pcs,2,0,,,,open,
261,13428,3,Heveya Bamboo Cotton Organic Inner Duvet - King (240cm x 220cm),1,Pcs,1,0,,,,open,
262,13428,4,Heveya Bamboo Eyemask - Cream White,1,Pcs,1,0,,,,open,
263,13428,5,Bamboo Bolster Case Set (1 Bolster Case) - ø34.5 cm x L91 cm - Dark Grey,2,Pcs,2,0,,,,open,
264,13428,6,Bamboo - Fitted Sheet Set + 2 Pillow Cases - King (180cm x 200cm)  - Burnt Orange,1,Set,1,0,,,,open,
265,13428,7,Bamboo - Duvet Sheet Set + 2 Pillow Cases - King (240cm x 220cm) - Burnt Orange,1,Set,1,0,,,,open,
266,13428,8,Bamboo Bolster Case Set (1 Bolster Case) - ø34.5 cm x L91 cm - Burnt Orange,2,Pcs,2,0,,,,open,
267,13428,9,Heveya Pillow Bags,2,Pcs,2,0,,,,open,
268,13427,1,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 14.5cm) - Heveya 2,1,Pcs,1,0,,,,open,thank you Card 350k
269,13427,2,Heveya Pillow Bags,1,Pcs,1,0,,,,open,
270,13426,1,Heveya Natural Organic Latex Mattress I - Custom Size (W140cm x L200cm) - Firm,1,Pcs,0,1,41-25,pending_wh,,open,
271,13426,2,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 10cm) - Heveya 1,1,Pcs,0,1,,pending_wh,,open,
272,13424,1,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 14.5cm) - Heveya 2,1,Pcs,1,0,,,,open,Taken
273,13424,2,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 14.5cm) - Heveya 2,1,Pcs,1,0,,,,open,Pending - TBC
274,13424,3,Heveya Pillow Bags,2,Pcs,2,0,,,,open,Taken 1 
275,13424,4,Bamboo Teak Pillow Mist - 5ml.,2,Pcs,2,0,,,,open,Taken 1
276,13423,1,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 10cm) - Heveya 1,1,Pcs,1,0,,,,open,
277,13423,2,Heveya Sheet Bags,1,Pcs,1,0,,,,open,
