id,name,product_code,showroom_qty,warehouse_qty,product_categories_string,buy_account,sell_account,inventory_asset_account
38638191,Linen Fitted Sheet + 1 Pillow Cases - Custom Size 96.5 x 190 - Natural,LSNCS96.5X190FI,0,0.0,,COGS - Mattress,Sales - Linen Bedsheet,Inventory - Bedsheets
42698547,Linen Fitted Sheet - Custom Size (220cm x 200cm) - White,LSWCS220X200FI,0.0,0.0,,COGS - Mattress,Sales - Linen Bedsheet,Inventory - Bedsheets
50678061,Linen Fitted Sheet - Custom Size 175cm x 70cm x 5cm - Olive,,0.0,0.0,,COGS - Mattress,Sales - Linen Bedsheet,Inventory - Bedsheets
55032034,Linen Fitted Sheet - Custom Size 177cm x 74cm x 5cm - Natural,,0.0,0,Linen Fitted Sheet,COGS - Mattress,Sales - Linen Bedsheet,Inventory - Bedsheets
58347574,Linen Fitted Sheet - Custom Size 190cm x 80cm x 5cm - Natural,LSN190X80FI,0,0,Linen Fitted Sheet,COGS - Mattress,Sales - Linen Bedsheet,Inventory - Bedsheets
56452310,Linen Fitted Sheet - Super King (200cm x 200cm) - Without Pillowcases - White,LSWSK200X200WPFI,0,0.0,Bedsheets,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Bedsheets
33000437,Linen Fitted Sheet Set + 1 Pillow Case  -   Single (90cm x 200cm) - White,LSPW1S200X90FI,5.0,37.0,Linen Fitted Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
33787564,Linen Fitted Sheet Set + 1 Pillow Case  - Super Single (107cm x 190cm) - White,LSPW1SS190X107FI,0.0,0.0,Linen Fitted Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
32997058,Linen Fitted Sheet Set + 1 Pillow Case - Single (90cm x 200cm) - Natural,LSN1S200X90FI,5.0,19.0,Linen Fitted Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
52442167,Linen Fitted Sheet Set + 1 Pillow Case - Single (90cm x 200cm) - Olive,LSO1S200X90FI,0.0,0.0,Linen Fitted Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
58298934,Linen Fitted Sheet Set + 1 Pillow Case - Single (90cm x 200cm) - Pinstripe,LSPS1S200X90FI,0,0,Linen Fitted Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Bedsheets
33787473,Linen Fitted Sheet Set + 1 Pillow Case - Super Single (107cm x 190cm) - Natural,LSN1SS190X107FI,0.0,0.0,Linen Fitted Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
45126759,Linen Fitted Sheet Set + 1 Pillow Case - Super Single (107cm x 190cm) - Pinstripe, LSPS1SS190X107FI,0.0,0.0,Linen Fitted Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
33801985,Linen Fitted Sheet Set + 2 Pillow Cases  -  Super King (200cm x 200cm) - Pinstriped,LSPS2SK200X200FI,6.0,42.0,Linen Fitted Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
33802168,Linen Fitted Sheet Set + 2 Pillow Cases  - King (180cm x 200cm) - Charcoal Grey,LSCG2K200X180FI,3.0,28.0,Linen Fitted Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
33000471,Linen Fitted Sheet Set + 2 Pillow Cases  - Queen (160cm x 200cm) - White,LSPW2Q200X160FI,5.0,5.0,Linen Fitted Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
32997070,Linen Fitted Sheet Set + 2 Pillow Cases  - Super King (200cm x 200cm) - Natural,LSN2SK200X200FI,5.0,21.0,Linen Fitted Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
57263402,Linen Fitted Sheet Set + 2 Pillow Cases - Custom (218cm x 218cm) - White,,0,0,Linen Fitted Sheet,COGS - Mattress,Sales - Linen Bedsheet,Inventory - Bed Accessories
48184321,Linen Fitted Sheet Set + 2 Pillow Cases - Custom Size (120cm x 200cm) - Natural,LSNCS120x200FI,0,0,,COGS - Mattress,Sales - Linen Bedsheet,Inventory - Bedsheets
38491120,Linen Fitted Sheet Set + 2 Pillow Cases - Custom Size (197cm x 200cm) - White,SSWCS197X200FI,0,0.0,,COGS - Mattress,Sales - Linen Bedsheet,Inventory - Bedsheets
51444999,Linen Fitted Sheet Set + 2 Pillow Cases - Custom Size (210cm x 220cm) - Natural,LSNB2210X220FI,0,0.0,,COGS - Mattress,Sales - Linen Bedsheet,Inventory - Bedsheets
34058328,Linen Fitted Sheet Set + 2 Pillow Cases - Custom Size (320cm x 200cm)  - White,,0,0.0,,COGS - Mattress,Sales - Linen Bedsheet,Inventory - Bedsheets
43469384,Linen Fitted Sheet Set + 2 Pillow Cases - Custom Size 107cm x 200 - White,LSPWCS107x200FI,0.0,0.0,,COGS - Mattress,Sales - Linen Bedsheet,Inventory - Bedsheets
